,,,,,Scheme Name,Eligibility Criteria,Scheme Benefits
,,,,,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),Residents of Maharashtra belonging to economically weaker sections; families identified through ration cards (yellow/orange); income generally below ₹1–1.5 lakh annually; Aadhaar card required; domicile proof required; inclusion in government beneficiary database,"Cashless treatment up to ₹1.5–₹5 lakh per family per year at empanelled hospitals; covers surgeries, hospitalization, diagnostics, medicines, and post-hospitalization expenses"
,,,,,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY),Families listed in SECC database; low-income households; rural deprived categories and urban workers; Aadhaar recommended; ration card or family ID required,Health insurance coverage up to ₹5 lakh per family per year; cashless and paperless treatment across India; includes major surgeries and treatments
,,,,,Namo Shetkari Maha Samman Nidhi Yojana,Small and marginal farmers in Maharashtra; must own cultivable land; registered in state agriculture database; Aadhaar-linked bank account required,"Direct financial assistance of ₹6,000 per year transferred in installments to bank account"
,,,,,Mahatma Phule Krishi Karj Mafi Yojana (Loan Waiver Scheme),Farmers with outstanding crop loans; loans taken from nationalized/cooperative banks; Aadhaar and land ownership proof required; loan eligibility cutoff as per govt notification,Loan waiver up to ₹2 lakh; relief from debt burden; improves credit eligibility
,,,,,Mukhyamantri Saur Krushi Pump Yojana,Farmers without electricity access or facing irrigation issues; priority to remote and tribal areas; land ownership proof required; Aadhaar and bank details needed,Subsidy for installation of solar-powered irrigation pumps; reduces electricity cost; ensures reliable irrigation
,,,,,Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojana,Students from rural areas studying in cities; family income below ₹8 lakh (varies by category); must not have access to hostel; Aadhaar and admission proof required,Monthly financial assistance for accommodation and food expenses
,,,,,Rajarshi Shahu Maharaj Merit Scholarship,Students securing high marks (generally 75%+); family income below ₹8 lakh; domicile of Maharashtra; admission in higher education institutions,Financial assistance for continuation of higher education; incentive for meritorious students
,,,,,Post Matric Scholarship for SC/ST/OBC Students (MahaDBT),Students belonging to SC/ST/OBC categories; family income limits vary (₹1 lakh–₹2.5 lakh typical); must be enrolled in recognized institutions; caste certificate required; income certificate mandatory,Full or partial tuition fee reimbursement; maintenance allowance; exam fee coverage
,,,,,Majhi Ladki Bahin Yojana,Women aged 21–60 years; family income below ₹2.5 lakh; resident of Maharashtra; Aadhaar-linked bank account; not an income taxpayer,"Direct benefit transfer of ₹1,500 per month to eligible women"
,,,,,Majhi Kanya Bhagyashree Yojana,Girl child born in Maharashtra; parents must be residents; income below specified limit (approx ₹7.5 lakh or lower tiers); Aadhaar and birth certificate required,Financial assistance deposited in stages; long-term savings for education and marriage
,,,,,Indira Gandhi National Old Age Pension Scheme (State implemented),Citizens aged 60+ years; belonging to below poverty line (BPL) households; Aadhaar and age proof required; bank account necessary,Monthly pension support from state and central government
,,,,,Sanjay Gandhi Niradhar Anudan Yojana,"Destitute persons, widows, disabled, orphans; low-income families; domicile of Maharashtra; income certificate required; Aadhaar mandatory",Monthly financial assistance to support livelihood
,,,,,Pradhan Mantri Awas Yojana – Gramin (Maharashtra Implementation),Rural households without pucca house; identified in SECC data; income-based eligibility; Aadhaar and land details required,Financial assistance for construction of permanent house; subsidy transferred in installments
,,,,,Ramai Awas Gharkul Yojana,Scheduled Caste (SC) families below poverty line; Maharashtra residents; land ownership or allocation required; caste certificate needed,Financial assistance for house construction
,,,,,Mukhyamantri Rojgar Hami Yojana (Employment Guarantee Scheme),Rural residents willing to do unskilled labor; adult citizens; Aadhaar and job card registration required,Guaranteed wage employment for a fixed number of days; improves rural livelihood
,,,,,,,
,,,,,Post Matric Tuition Fee and Examination Fee (Freeship) for OBC Students,"Students belonging to OBC category; family income typically below ₹8 lakh per annum; must be residents of Maharashtra; enrolled in recognized institutions; caste certificate, income certificate, Aadhaar card, domicile certificate, and bank account required",Full or partial reimbursement of tuition fees and exam fees; reduces financial burden for higher education
,,,,,Pre-Matric Scholarship for SC Students,"Students from Scheduled Caste category studying in Class 1–10; family income generally below ₹2 lakh; Aadhaar, caste certificate, school bonafide certificate, and bank account required",Financial assistance for school education; includes maintenance allowance and support for study materials
,,,,,Pre-Matric Scholarship for OBC Students,"Students from OBC category studying in school; income limit usually up to ₹1–1.5 lakh annually; domicile of Maharashtra; Aadhaar, caste certificate, income certificate required",Scholarship support to reduce dropout rates; helps with basic education expenses
,,,,,Minority Post-Matric Scholarship Scheme,"Students belonging to notified minority communities (Muslim, Christian, Sikh, Buddhist, Jain, Parsi); family income below ₹2 lakh; admission in recognized institutions; Aadhaar, income certificate, minority certificate required","Covers tuition fees, maintenance allowance, and academic expenses"
,,,,,Eklavya Residential School Scheme (State Support),"Students from Scheduled Tribe (ST) category; merit-based selection; domicile of Maharashtra; caste certificate, Aadhaar, and academic records required","Free residential schooling, including lodging, food, education, and extracurricular development"
,,,,,Chief Minister Fellowship Program (Maharashtra),"Graduates/postgraduates with strong academic record; age typically 21–26 years; Maharashtra domicile preferred; selection through competitive process; documents include degree certificates, ID proof, and application forms","Monthly stipend (~₹50,000+), exposure to governance, and work experience with government departments"
,,,,,Maharashtra State Skill Development Mission (MSSDM),"Youth aged 15–45 years; residents of Maharashtra; Aadhaar card, educational qualification proof, and bank account required",Free or subsidized skill training; certification; placement assistance in industries
,,,,,Pandit Deendayal Upadhyay Rojgar Yojana (State variant),"Unemployed youth; income criteria may apply; domicile of Maharashtra; Aadhaar, education proof, and employment registration required","Skill development training, employment linkage, and self-employment support"
,,,,,Pradhan Mantri Fasal Bima Yojana (PMFBY – Maharashtra),"किसानों registered with agricultural department; must have insurable crops; Aadhaar, land records (7/12 extract), and bank account required","Crop insurance coverage against natural calamities, pests, and diseases; claim settlement directly to bank"
,,,,,National Food Security Scheme (Public Distribution System – Maharashtra),Families holding ration cards (Priority/Antyodaya); low-income households; Aadhaar linking required,"Subsidized food grains (rice, wheat, sugar) at low cost through fair price shops"
,,,,,Antyodaya Anna Yojana (State Implementation),Poorest of poor families identified by government; ration card required; Aadhaar recommended,Highly subsidized food grains (35 kg/month per family)
,,,,,Maharashtra Building and Other Construction Workers Welfare Scheme,"Registered construction workers aged 18–60; minimum work days required; Aadhaar, labor registration card, bank account needed","Financial assistance, accident insurance, education support for children, maternity benefits"
,,,,,Labour Welfare Board Education Assistance Scheme,Children of registered workers; income criteria applies; school/college enrollment required; Aadhaar and worker registration proof needed,"Scholarships for education, reimbursement of fees, and incentives for higher studies"
,,,,,Mukhyamantri Kisan Apghat Suraksha Yojana,"Farmers aged 18–70; residents of Maharashtra; Aadhaar, land ownership proof, and bank account required",Insurance coverage in case of accidental death or disability; compensation to family
,,,,,Sant Gadge Baba Gram Swachhata Abhiyan,Rural villages participating in cleanliness drives; implemented through Gram Panchayats,Financial incentives to villages achieving sanitation targets; promotes hygiene and infrastructure development
,,,,,Integrated Child Development Services (ICDS – Anganwadi Scheme),"Pregnant women, lactating mothers, and children (0–6 years); Aadhaar and local registration required","Nutrition support, immunization, preschool education, and health check-ups"
,,,,,Janani Suraksha Yojana (State Implementation),Pregnant women from low-income households; institutional delivery required; Aadhaar and health registration needed,Cash assistance for safe delivery; promotes institutional childbirth
,,,,,Maharashtra State Disability Pension Scheme,"Persons with 40% or more disability; income below specified limit; disability certificate, Aadhaar, and bank account required",Monthly pension support; additional benefits for severe disability cases
,,,,,Shravan Bal Seva Rajya Nivrutti Yojana,"Senior citizens aged 65+; low-income or destitute; Aadhaar, age proof, domicile required",Monthly financial assistance for elderly persons
,,,,,Maharashtra Urban Livelihoods Mission (DAY-NULM),"Urban poor households; Aadhaar, income certificate, and residence proof required","Self-employment support, skill training, SHG formation, and financial inclusion"
,,,,,Self Help Group (SHG) Bank Linkage Scheme,"Women forming SHGs; Aadhaar, group registration, and bank linkage required","Access to microcredit, revolving funds, and livelihood opportunities"
,,,,,Mahila Arthik Vikas Mahamandal (MAVIM) Schemes,"Rural women; SHG members; Aadhaar, income proof required","Financial inclusion, livelihood training, and entrepreneurship support"
,,,,,Mukhyamantri Solar Rooftop Subsidy Scheme,Residential consumers in Maharashtra; property ownership proof; Aadhaar and electricity connection required,Subsidy on rooftop solar installation; reduction in electricity bills
,,,,,Maharashtra e-Governance Digital Services Scheme,All residents; Aadhaar-linked identity; access through Maha e-Seva Kendras,"Online access to government services, certificates, and applications"
,,,,,Transport Subsidy for Students (MSRTC Pass Scheme),Students studying in schools/colleges; age and enrollment proof required; Aadhaar and student ID necessary,Concessional or free travel in state transport buses
,,,,,Free Textbook Distribution Scheme,Students in government schools; enrollment proof required,Free textbooks to reduce education cost burden
,,,,,Mid-Day Meal Scheme (Maharashtra),Students in government and aided schools (Class 1–8); school enrollment required,Free nutritious meals during school hours
,,,,,Tribal Sub-Plan Welfare Schemes,Scheduled Tribe communities; caste certificate required; income criteria applicable,"Financial aid, education support, housing, and livelihood programs"
,,,,,Backward Class Development Schemes,"SC/ST/OBC/VJNT categories; caste certificate, income proof required","Scholarships, subsidies, hostels, and economic upliftment programs"
,,,,,,,
,,,,,Pradhan Mantri Awas Yojana – Urban (Maharashtra Implementation),"Urban residents belonging to Economically Weaker Section (EWS), Low Income Group (LIG), or Middle Income Group (MIG); annual income limits vary (EWS up to ~₹3 lakh, LIG up to ~₹6 lakh, MIG higher slabs); must not own a pucca house; Aadhaar, income certificate, property documents required",Interest subsidy on home loans; financial assistance for house construction or purchase; promotes affordable housing
,,,,,Shabari Adivasi Gharkul Yojana,"Scheduled Tribe (ST) families below poverty line; domicile of Maharashtra; land ownership or allocation required; caste certificate, Aadhaar, and income proof needed",Financial assistance for construction of permanent house in rural/tribal areas
,,,,,"Deendayal Antyodaya Yojana – National Rural Livelihood Mission (DAY-NRLM, State Implementation)","Rural poor households; Aadhaar, bank account, and SHG participation required","Skill training, self-employment support, SHG financing, livelihood promotion"
,,,,,Maharashtra State Rural Drinking Water Programme,Rural households lacking safe drinking water access; implemented via Gram Panchayats; Aadhaar/residence proof may be required for individual connections,Provision of safe drinking water infrastructure; tap water connections; improved sanitation and health
,,,,,Atal Bandhkam Kamgar Yojana,"Registered construction workers; age 18–60; minimum working days required; Aadhaar, labor card, and bank account needed","Financial assistance for housing, children’s education, maternity benefits, and safety equipment"
,,,,,Mukhyamantri Gram Sadak Yojana,Rural areas lacking road connectivity; implemented through local bodies; community-level eligibility,"Development of all-weather rural roads; improved connectivity to markets, schools, and hospitals"
,,,,,Maharashtra State Horticulture Mission,Farmers engaged in horticulture crops; land ownership proof; Aadhaar and bank account required,"Subsidy for plantation, drip irrigation, greenhouses, and modernization of horticulture practices"
,,,,,National Livestock Mission (Maharashtra),"Farmers, SHGs, and entrepreneurs engaged in livestock; Aadhaar, land/enterprise proof required","Financial assistance for livestock development, poultry, dairy, and fodder management"
,,,,,Dairy Entrepreneurship Development Scheme (State-linked),"Individuals, farmers, SHGs; Aadhaar, project proposal, and bank linkage required",Subsidy and financial assistance for setting up dairy units; promotes self-employment
,,,,,Maharashtra Fisheries Development Scheme,Fishermen and fish farmers; valid fishing licenses; Aadhaar and bank account required,"Subsidies for boats, nets, cold storage, and aquaculture development"
,,,,,Mukhyamantri Pashudhan Vikas Yojana,"Farmers engaged in animal husbandry; Aadhaar, land/animal ownership proof required","Veterinary services, vaccination programs, and financial support for livestock"
,,,,,Maharashtra State Startup Policy Scheme,"Entrepreneurs and startups registered in Maharashtra; business registration, Aadhaar, PAN, and project proposal required","Funding support, incubation, tax benefits, and mentorship for startups"
,,,,,Chief Minister Employment Generation Programme (CMEGP),"Unemployed youth aged 18+; income criteria applicable; Aadhaar, project report, and bank linkage required",Subsidy for starting small businesses; financial assistance for self-employment ventures
,,,,,Maharashtra Industrial Policy Incentive Scheme,"MSMEs and large industries setting up units in Maharashtra; business registration, investment proof required","Tax incentives, capital subsidies, infrastructure support"
,,,,,Stamp Duty and Registration Fee Concession Scheme,"Women property buyers or specific beneficiary groups; property documents, Aadhaar required",Reduced stamp duty on property registration; promotes ownership
,,,,,Property Tax Rebate Scheme (Municipal Level),Property owners paying tax on time; local municipal eligibility; property documents required,Rebates/discounts on property tax payments
,,,,,Electric Vehicle Policy Subsidy Scheme (Maharashtra),"Buyers of electric vehicles; valid purchase invoice, Aadhaar, and registration required",Subsidy on EV purchase; reduced registration fees; incentives for eco-friendly transport
,,,,,Mukhyamantri Solar Agricultural Feeder Scheme,"Farmers connected to agricultural feeders; Aadhaar, land records required",Solarization of feeders; reliable daytime electricity supply for irrigation
,,,,,Maharashtra State Education Infrastructure Scheme,Government schools and institutions; implemented via departments; institutional eligibility,"Development of classrooms, labs, and digital infrastructure"
,,,,,Digital Seva Kendra (Maha e-Seva) Scheme,"Entrepreneurs or individuals setting up service centers; Aadhaar, registration required",Opportunity to provide government services digitally; income generation
,,,,,National Social Assistance Programme (State Implementation),"BPL households; elderly, widows, disabled persons; Aadhaar, income proof required",Pension and financial assistance
,,,,,Mukhyamantri Bal Sangopan Yojana,Orphaned or vulnerable children; income and guardianship verification required; Aadhaar needed,Monthly financial assistance for child care and education
,,,,,Maharashtra State Nutrition Mission,"Pregnant women, lactating mothers, children; Aadhaar and health registration required","Nutritional supplements, awareness programs, health monitoring"
,,,,,School Bus Pass Scheme (MSRTC Students Pass Extended),"Students traveling long distances; school ID, Aadhaar required",Free or concessional transport facility
,,,,,Integrated Watershed Management Programme (Maharashtra),Rural and drought-prone areas; implemented via local bodies,"Soil conservation, water resource development, improved agriculture productivity"
,,,,,Maharashtra Slum Rehabilitation Scheme,"Slum dwellers identified by authorities; Aadhaar, residence proof required",Free or subsidized housing redevelopment in urban areas
,,,,,Mukhyamantri Arogya Mitra Scheme,Trained individuals assisting patients in hospitals; eligibility via program enrollment,Employment opportunity and support services in healthcare facilities
,,,,,Public Health Infrastructure Strengthening Scheme,Entire population (indirect beneficiaries); implemented via government health departments,"Upgradation of hospitals, equipment, and healthcare facilities"
,,,,,Maharashtra State Road Transport Subsidy Scheme,General public and specific categories; Aadhaar and eligibility proof required,"Reduced travel fares for students, senior citizens, and special groups"
,,,,,,,
,,,,,Maharashtra Right to Public Services Act (RTPS),All residents of Maharashtra; Aadhaar or identity proof required; application through designated service portals,Time-bound delivery of government services; penalties on delays; improved transparency
,,,,,Maha e-Seva Kendra Scheme,"Entrepreneurs or individuals setting up service centers; Aadhaar, PAN, registration required",Income generation through delivery of government services; digital inclusion
,,,,,Maharashtra State Apprenticeship Promotion Scheme,"Youth aged 18+; minimum educational qualification depending on trade; Aadhaar, bank account required",Stipend support during apprenticeship; skill development and industry exposure
,,,,,Pandit Deendayal Upadhyay Self Employment Scheme,Unemployed youth; income criteria applicable; project proposal and Aadhaar required,Financial assistance and subsidy for starting small businesses
,,,,,Maharashtra State Handicraft Promotion Scheme,Artisans and craftsmen; proof of occupation; Aadhaar and bank account required,"Financial support, marketing assistance, and training"
,,,,,Khadi and Village Industries Scheme (State Implementation),"Rural entrepreneurs and artisans; Aadhaar, project proposal required","Subsidies, loans, and training for village industries"
,,,,,Maharashtra State Tourism Promotion Subsidy Scheme,Businesses investing in tourism sector; registration and investment proof required,"Capital subsidy, tax benefits, and infrastructure support"
,,,,,Maharashtra Pollution Control Incentive Scheme,Industries adopting eco-friendly practices; compliance documents required,Financial incentives for pollution control equipment
,,,,,Maharashtra Electric Pump Connection Scheme,Farmers awaiting electricity connections; land ownership and Aadhaar required,Priority electricity connections for irrigation
,,,,,Mukhyamantri Jal Sanvardhan Yojana,Rural communities; implemented via local bodies; Aadhaar/residence proof,Water conservation structures; improved groundwater levels
,,,,,Maharashtra State Sports Scholarship Scheme,खिलाड़ियों (sports persons) with proven performance; age and achievement criteria; Aadhaar and certificates required,"Financial assistance, training support, and incentives"
,,,,,Shiv Chhatrapati Sports Award Scheme,Outstanding athletes from Maharashtra; state/national performance required,"पुरस्कार (cash awards), recognition, and incentives"
,,,,,Maharashtra State Senior Citizen Welfare Scheme,Citizens aged 60+; income criteria for some benefits; Aadhaar and age proof required,"Healthcare support, concessions, and welfare programs"
,,,,,Mukhyamantri Teerth Darshan Yojana,Senior citizens; age typically 60+; income criteria; Aadhaar required,Subsidized pilgrimage travel for senior citizens
,,,,,Maharashtra State Fire Safety Compliance Subsidy,Commercial establishments; compliance with safety norms; registration documents required,Subsidy for installing fire safety systems
,,,,,Cooperative Housing Society Redevelopment Scheme,Members of registered housing societies; approval from majority members; property documents required,Faster redevelopment approvals; incentives for modernization
,,,,,Maharashtra State Digital Agriculture Mission,"Farmers using digital platforms; Aadhaar, land records required","Access to digital advisory, market prices, and precision farming tools"
,,,,,e-Peek Pahani (Digital Crop Inspection Scheme),Farmers registered with agriculture department; Aadhaar and land details required,Digital crop survey; transparency in crop data; faster insurance claims
,,,,,Maharashtra State Market Intervention Scheme,Farmers facing price crashes; crop registration required,Government procurement at support prices; income protection
,,,,,Direct Seeded Rice Promotion Scheme,Farmers adopting modern techniques; land ownership proof required,Subsidy for seeds and equipment; water-saving agriculture
,,,,,Maharashtra State Bio-Fertilizer Promotion Scheme,"Farmers adopting organic practices; Aadhaar, land proof required",Subsidy for bio-fertilizers; improved soil health
,,,,,Urban Green Energy Incentive Scheme,Urban households installing renewable systems; property proof required,"Subsidy for solar, energy-efficient appliances"
,,,,,Maharashtra State Waste Management Subsidy Scheme,Urban local bodies and housing societies; project proposal required,Financial assistance for waste processing systems
,,,,,Smart City Mission (Maharashtra Cities),Residents of selected cities; implemented via municipal corporations,"Improved infrastructure, digital services, smart governance"
,,,,,Maharashtra State Public Wi-Fi Scheme,Urban areas; access via registration,Free or low-cost public internet access
,,,,,Mukhyamantri Gramin Digital Saksharta Abhiyan,Rural citizens; Aadhaar required,Digital literacy training; access to online services
